datetime,cpu,mem,,avg
Mon Oct 16 13:34:49 GMT 2023,50,162593,,
Mon Oct 16 13:34:50 GMT 2023,50,162651,,
Mon Oct 16 13:34:50 GMT 2023,50,162707,,
Mon Oct 16 13:34:51 GMT 2023,50,162749,,
Mon Oct 16 13:34:52 GMT 2023,50,162808,,
Mon Oct 16 13:34:52 GMT 2023,50,162844,,
Mon Oct 16 13:34:53 GMT 2023,50,163064,,
Mon Oct 16 13:34:54 GMT 2023,50,162980,,
Mon Oct 16 13:34:54 GMT 2023,50,163008,,
Mon Oct 16 13:34:55 GMT 2023,50,163067,,
Mon Oct 16 13:34:56 GMT 2023,50,163110,,
Mon Oct 16 13:34:56 GMT 2023,50,163166,,
Mon Oct 16 13:34:57 GMT 2023,50,163215,,
Mon Oct 16 13:34:58 GMT 2023,50,163268,,
Mon Oct 16 13:34:58 GMT 2023,50,163321,,
Mon Oct 16 13:34:59 GMT 2023,50,163551,,
Mon Oct 16 13:35:00 GMT 2023,50,163453,,
Mon Oct 16 13:35:00 GMT 2023,50,163459,,
Mon Oct 16 13:35:01 GMT 2023,50,163519,,
Mon Oct 16 13:35:02 GMT 2023,50,163575,,
Mon Oct 16 13:35:02 GMT 2023,50,163621,,
Mon Oct 16 13:35:03 GMT 2023,50,163677,,
Mon Oct 16 13:35:04 GMT 2023,50,163713,,
Mon Oct 16 13:35:04 GMT 2023,50,163768,,
Mon Oct 16 13:35:05 GMT 2023,50,164011,,
Mon Oct 16 13:35:06 GMT 2023,50,163888,,
Mon Oct 16 13:35:06 GMT 2023,50,163906,,
Mon Oct 16 13:35:07 GMT 2023,50,163964,,
Mon Oct 16 13:35:08 GMT 2023,50,164016,,
Mon Oct 16 13:35:09 GMT 2023,50,164073,,
Mon Oct 16 13:35:09 GMT 2023,50,164124,,
Mon Oct 16 13:35:10 GMT 2023,50,164184,,
Mon Oct 16 13:35:11 GMT 2023,50,164240,,
Mon Oct 16 13:35:11 GMT 2023,50,164650,,
Mon Oct 16 13:35:12 GMT 2023,50,164414,,
